Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,100n,
C2,CP_Elec_4x5.4,1,10u,
C4,0805,1,C,
"J1, J2",DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm,2,DE15_Socket_HighDensity_MountingHoles,
"J10, J11, J5, J8, J9",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
J3,CUI_SDF-130J,1,SDF-130J,
J4,Jack_3.5mm_CUI_SJ-3524-THT_Horizontal,1,AudioJack2,
"R1, R2, R3",0805,3,2.2k,
R4,0805,1,3.3k,
R5,0805,1,R,
"RV1, RV2, RV3",Potentiometer_Runtron_RM-065_Vertical,3,100R,
"RV4, RV5",Potentiometer_Runtron_RM-065_Vertical,2,10k,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",Pin_D1.0mm_L10.0mm,9,TestPoint,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-FMN,
